Property_ID,Property,Community,Developer,Property_Type,Bedrooms,Price_AED,ROI,Rental_Yield,Expected_Appreciation,Risk
PID-00514,Park Vista,Dubai Marina,DAMAC,Townhouse,1 BR,4116160,8.7%,7.0%,High,Low
PID-00515,Grand Tower,Business Bay,Emaar,Townhouse,1 BR,2479793,8.1%,7.7%,High,Low
PID-00516,Royal Heights,Business Bay,Sobha Realty,Apartment,4 BR,2518894,7.6%,7.1%,High,Low
PID-00517,Harbour Collection,JVC,Binghatti,Townhouse,Studio,1375330,9.8%,8.1%,Medium,Medium
PID-00518,Creek Vista,Dubai Marina,DAMAC,Townhouse,2 BR,3898844,8.2%,8.0%,High,Low
PID-00519,Palm View,Business Bay,Sobha Realty,Villa,4 BR,4109498,7.5%,8.0%,High,Low
PID-00520,Park Heights,JVC,Emaar,Townhouse,4 BR,1021490,8.0%,8.0%,Medium,Medium
PID-00521,Azure Gardens,JVC,Danube,Apartment,4 BR,675773,8.0%,8.5%,Medium,Medium
PID-00522,Central Point,JVC,Danube,Townhouse,3 BR,1315601,10.0%,7.5%,Medium,Medium
PID-00523,Elite Collection,JVC,Binghatti,Townhouse,4 BR,1813032,9.6%,7.8%,Medium,Medium
PID-00524,Palm Horizon,JVC,Danube,Villa,2 BR,1577299,8.3%,8.8%,Medium,Medium
PID-00525,Park Central,Business Bay,DAMAC,Townhouse,4 BR,1528912,8.5%,6.9%,High,Low
PID-00526,Royal Vista,Dubai Marina,Binghatti,Villa,1 BR,4232363,9.0%,7.5%,High,Low
PID-00527,Marina Square,JVC,Danube,Apartment,4 BR,1091646,9.6%,8.2%,Medium,Medium
PID-00528,Elite Point,Business Bay,Sobha Realty,Apartment,1 BR,2831910,8.7%,7.2%,High,Low
PID-00529,Creek One,JVC,Emaar,Villa,Studio,954293,8.1%,8.3%,Medium,Medium
PID-00530,Canal Place,Dubai Marina,Binghatti,Apartment,4 BR,4046387,8.0%,8.2%,High,Low
PID-00531,Marina Central,JVC,DAMAC,Townhouse,Studio,1970500,9.9%,8.7%,Medium,Medium
PID-00532,Central Square,Business Bay,Danube,Townhouse,4 BR,3184605,8.0%,7.7%,High,Low
PID-00533,Royal Square,JVC,Sobha Realty,Villa,1 BR,1453532,8.9%,7.6%,Medium,Medium
PID-00534,Creek Living,Dubai Marina,DAMAC,Villa,4 BR,4624293,8.4%,8.4%,High,Low
PID-00535,Park Tower,JVC,Emaar,Apartment,4 BR,932693,9.5%,7.6%,Medium,Medium
PID-00536,Azure Park,Business Bay,Emaar,Apartment,Studio,3601533,7.3%,7.9%,High,Low
PID-00537,Canal Residences,JVC,Emaar,Villa,3 BR,898345,8.2%,8.8%,Medium,Medium
PID-00538,Elite Vista,Business Bay,Danube,Townhouse,4 BR,3091332,8.8%,6.8%,High,Low
PID-00539,Harbour Point,Dubai Marina,Binghatti,Apartment,4 BR,2447186,8.7%,7.1%,High,Low
PID-00540,Skyline Vista,Business Bay,Sobha Realty,Townhouse,4 BR,2655967,7.8%,7.5%,High,Low
PID-00541,Creek Heights,Dubai Marina,Sobha Realty,Apartment,Studio,4901475,8.8%,8.1%,High,Low
PID-00542,Canal Park,Dubai Marina,Danube,Townhouse,3 BR,3450858,7.7%,7.0%,High,Low
PID-00543,Park View,Dubai Marina,Danube,Villa,4 BR,3780602,7.9%,7.0%,High,Low
PID-00544,Canal Point,Dubai Marina,Danube,Villa,4 BR,4986444,8.7%,8.3%,High,Low
PID-00545,Royal Park,Business Bay,Sobha Realty,Apartment,4 BR,3314941,8.7%,6.6%,High,Low
PID-00546,Elite Horizon,Dubai Marina,Emaar,Villa,2 BR,1523823,8.7%,7.0%,High,Low
PID-00547,Creek Vista,Business Bay,DAMAC,Townhouse,Studio,1538426,8.2%,7.2%,High,Low
PID-00548,Grand Park,JVC,Sobha Realty,Apartment,3 BR,1853473,8.3%,8.7%,Medium,Medium
PID-00549,Azure Point,Dubai Marina,Danube,Villa,2 BR,3184925,8.0%,7.9%,High,Low
PID-00550,Ocean Collection,Business Bay,DAMAC,Villa,3 BR,3987873,7.4%,7.5%,High,Low
PID-00551,Park Vista,JVC,DAMAC,Townhouse,4 BR,1218697,9.9%,8.3%,Medium,Medium
PID-00552,Skyline Horizon,Business Bay,DAMAC,Townhouse,2 BR,3326971,7.1%,7.5%,High,Low
PID-00553,Vista Living,Business Bay,Danube,Villa,Studio,2688590,7.9%,7.4%,High,Low
PID-00554,Elite Park,JVC,Binghatti,Villa,Studio,834474,8.7%,8.0%,Medium,Medium
PID-00555,Marina Horizon,Dubai Marina,Sobha Realty,Apartment,4 BR,2745744,7.5%,7.1%,High,Low
PID-00556,Ocean Park,Dubai Marina,DAMAC,Villa,1 BR,4587810,8.5%,7.7%,High,Low
PID-00557,Marina Place,Business Bay,Emaar,Villa,3 BR,1502885,8.5%,7.6%,High,Low
PID-00558,Harbour Place,JVC,DAMAC,Villa,Studio,1185113,9.8%,7.9%,Medium,Medium
PID-00559,Azure Heights,JVC,Danube,Villa,3 BR,700956,8.0%,8.0%,Medium,Medium
PID-00560,Park Collection,Business Bay,Emaar,Apartment,4 BR,3135654,8.2%,7.7%,High,Low
PID-00561,Elite Place,Business Bay,Binghatti,Apartment,4 BR,2635617,8.3%,8.0%,High,Low
PID-00562,Azure Residences,JVC,DAMAC,Townhouse,1 BR,1218105,8.8%,8.0%,Medium,Medium
PID-00563,Central One,Business Bay,DAMAC,Townhouse,1 BR,1940452,7.5%,7.6%,High,Low
PID-00564,Azure Vista,Business Bay,DAMAC,Townhouse,3 BR,3649487,8.6%,8.1%,High,Low
PID-00565,Elite Horizon,Business Bay,Binghatti,Townhouse,3 BR,3402676,7.0%,7.5%,High,Low
PID-00566,Elite Place,Dubai Marina,DAMAC,Townhouse,4 BR,1843084,7.3%,6.9%,High,Low
PID-00567,The Tower,Business Bay,Sobha Realty,Villa,2 BR,3767808,7.8%,7.1%,High,Low
PID-00568,Royal Central,Business Bay,DAMAC,Villa,Studio,1849134,8.4%,7.9%,High,Low
PID-00569,Harbour Park,Dubai Marina,Binghatti,Apartment,Studio,1926332,7.1%,7.4%,High,Low
PID-00570,Azure Heights,JVC,Emaar,Apartment,Studio,691349,8.2%,8.9%,Medium,Medium
PID-00571,Vista One,Dubai Marina,DAMAC,Villa,2 BR,2545628,7.8%,7.5%,High,Low
PID-00572,Ocean Residences,Business Bay,Emaar,Apartment,Studio,4399860,7.5%,7.6%,High,Low
PID-00573,Harbour Square,Dubai Marina,DAMAC,Apartment,4 BR,3644284,8.2%,6.9%,High,Low
PID-00574,Harbour Collection,Dubai Marina,Danube,Townhouse,2 BR,2860793,7.7%,8.2%,High,Low
PID-00575,Vista Collection,JVC,Sobha Realty,Villa,Studio,1544730,8.8%,7.5%,Medium,Medium
PID-00576,Palm Point,Dubai Marina,DAMAC,Apartment,1 BR,2412485,7.1%,7.5%,High,Low
PID-00577,Infinity View,Dubai Marina,DAMAC,Villa,4 BR,2508922,8.1%,7.0%,High,Low
PID-00578,Marina Heights,Business Bay,DAMAC,Apartment,2 BR,4284484,8.1%,6.6%,High,Low
PID-00579,Harbour Point,Dubai Marina,Sobha Realty,Villa,2 BR,3090388,8.6%,8.2%,High,Low
PID-00580,Canal Place,JVC,Binghatti,Apartment,3 BR,654246,8.8%,8.9%,Medium,Medium
PID-00581,Ocean Park,Business Bay,Danube,Apartment,Studio,2914405,7.3%,7.0%,High,Low
PID-00582,Central Residence,Dubai Marina,Binghatti,Villa,4 BR,1804636,8.5%,7.0%,High,Low
PID-00583,Central Heights,Dubai Marina,Sobha Realty,Apartment,Studio,1681456,8.9%,8.2%,High,Low
PID-00584,Harbour Square,Business Bay,Emaar,Apartment,1 BR,2667433,7.5%,7.0%,High,Low
PID-00585,Central Tower,Dubai Marina,Sobha Realty,Villa,3 BR,2389495,7.8%,7.6%,High,Low
PID-00586,Park Square,JVC,DAMAC,Apartment,1 BR,1811396,10.0%,8.1%,Medium,Medium
PID-00587,Marina Heights,JVC,DAMAC,Townhouse,3 BR,1783138,9.6%,9.0%,Medium,Medium
PID-00588,Vista Collection,JVC,Danube,Apartment,Studio,841586,9.0%,7.7%,Medium,Medium
PID-00589,Skyline Square,JVC,DAMAC,Townhouse,2 BR,1027044,9.8%,8.7%,Medium,Medium
PID-00590,Harbour Point,JVC,Sobha Realty,Apartment,3 BR,729232,9.1%,8.3%,Medium,Medium
PID-00591,Royal One,JVC,Danube,Apartment,1 BR,1648257,8.3%,8.7%,Medium,Medium
PID-00592,Elite Place,JVC,Sobha Realty,Townhouse,Studio,1148008,9.1%,7.8%,Medium,Medium
PID-00593,The Vista,Business Bay,Danube,Apartment,4 BR,2136325,7.0%,7.7%,High,Low
PID-00594,Canal Park,Business Bay,Danube,Townhouse,Studio,3313367,8.7%,8.0%,High,Low
PID-00595,Infinity Tower,JVC,DAMAC,Apartment,3 BR,1454885,8.4%,8.2%,Medium,Medium
PID-00596,Grand Tower,Dubai Marina,Binghatti,Apartment,2 BR,1506472,8.7%,7.2%,High,Low
PID-00597,Canal Vista,JVC,Emaar,Villa,2 BR,1165752,9.6%,8.8%,Medium,Medium
PID-00598,Grand Park,Dubai Marina,Binghatti,Villa,Studio,4227230,8.0%,6.5%,High,Low
PID-00599,Elite Square,Dubai Marina,Danube,Townhouse,2 BR,1830364,8.6%,7.6%,High,Low
PID-00600,Central View,Business Bay,Binghatti,Apartment,3 BR,1877040,7.8%,6.7%,High,Low
PID-00601,Grand Central,Business Bay,Emaar,Villa,1 BR,1787586,7.8%,8.1%,High,Low
PID-00602,Park Collection,JVC,Emaar,Townhouse,Studio,809528,10.0%,8.8%,Medium,Medium
PID-00603,Marina Park,JVC,Emaar,Townhouse,3 BR,1145805,9.1%,8.5%,Medium,Medium
PID-00604,Royal Point,Dubai Marina,Danube,Villa,Studio,4913225,7.0%,8.5%,High,Low
PID-00605,Infinity Horizon,JVC,Emaar,Villa,3 BR,1944078,9.3%,8.7%,Medium,Medium
PID-00606,Ocean Tower,JVC,DAMAC,Apartment,Studio,1210531,8.1%,8.5%,Medium,Medium
PID-00607,Azure Residence,Dubai Marina,Danube,Apartment,3 BR,4084344,8.6%,7.5%,High,Low
PID-00608,Palm One,JVC,DAMAC,Villa,1 BR,891523,9.8%,8.4%,Medium,Medium
PID-00609,Ocean Gardens,JVC,Danube,Townhouse,2 BR,1605801,9.1%,8.2%,Medium,Medium
PID-00610,Palm One,Dubai Marina,Binghatti,Villa,Studio,4377985,9.0%,8.0%,High,Low
PID-00611,Park Park,Dubai Marina,Binghatti,Townhouse,3 BR,2270886,7.1%,7.8%,High,Low
PID-00612,The Residence,Business Bay,Sobha Realty,Townhouse,3 BR,2833097,7.1%,7.6%,High,Low
PID-00613,Central Collection,JVC,Binghatti,Villa,2 BR,1478435,8.3%,7.8%,Medium,Medium
PID-00614,Azure Park,JVC,Danube,Townhouse,3 BR,1502611,9.8%,8.6%,Medium,Medium
PID-00615,Central Place,JVC,Sobha Realty,Townhouse,1 BR,693600,9.4%,7.9%,Medium,Medium
PID-00616,Grand Living,Business Bay,Emaar,Villa,Studio,4075816,8.0%,7.8%,High,Low
PID-00617,Canal Living,JVC,DAMAC,Villa,2 BR,993929,8.8%,7.6%,Medium,Medium
PID-00618,Grand Residence,Dubai Marina,Emaar,Villa,3 BR,3079014,8.5%,8.3%,High,Low
PID-00619,Skyline Place,Business Bay,DAMAC,Apartment,4 BR,4320591,7.1%,7.9%,High,Low
PID-00620,Marina Collection,Business Bay,Sobha Realty,Townhouse,Studio,2745449,7.4%,7.7%,High,Low
PID-00621,Ocean Residences,JVC,Sobha Realty,Apartment,1 BR,1693822,8.5%,8.2%,Medium,Medium
PID-00622,Vista One,JVC,Binghatti,Villa,Studio,1026823,8.4%,7.9%,Medium,Medium
PID-00623,Canal Park,JVC,DAMAC,Villa,3 BR,1192476,8.6%,8.8%,Medium,Medium
PID-00624,Creek View,JVC,DAMAC,Townhouse,3 BR,1523867,8.2%,8.3%,Medium,Medium
PID-00625,Canal Gardens,JVC,DAMAC,Villa,2 BR,1736433,9.7%,7.6%,Medium,Medium
PID-00626,Infinity Collection,Dubai Marina,Danube,Townhouse,3 BR,1613061,8.1%,6.7%,High,Low
PID-00627,Infinity Residence,Dubai Marina,Danube,Apartment,2 BR,2791774,8.1%,6.6%,High,Low
PID-00628,Central Point,Business Bay,Binghatti,Townhouse,2 BR,4241374,7.7%,7.0%,High,Low
PID-00629,Azure Square,JVC,Danube,Villa,4 BR,855757,9.3%,8.1%,Medium,Medium
PID-00630,Creek Vista,JVC,DAMAC,Townhouse,4 BR,1992161,9.9%,7.9%,Medium,Medium
PID-00631,Royal Residences,Dubai Marina,Binghatti,Townhouse,Studio,3761574,8.4%,7.6%,High,Low
PID-00632,Creek Residence,Business Bay,DAMAC,Apartment,4 BR,3568308,7.3%,7.3%,High,Low
PID-00633,Creek Point,Business Bay,Danube,Villa,Studio,1315267,8.4%,7.8%,High,Low
PID-00634,Grand Square,JVC,Danube,Apartment,1 BR,972974,8.8%,8.4%,Medium,Medium
PID-00635,Harbour Park,JVC,Emaar,Apartment,Studio,1172456,9.2%,9.0%,Medium,Medium
PID-00636,Palm Central,Business Bay,DAMAC,Villa,3 BR,1578257,7.9%,7.7%,High,Low
PID-00637,Vista Gardens,JVC,Sobha Realty,Townhouse,2 BR,1930672,8.7%,7.5%,Medium,Medium
PID-00638,Skyline Vista,Business Bay,Binghatti,Townhouse,Studio,3205315,8.5%,7.6%,High,Low
PID-00639,Infinity Horizon,Dubai Marina,Emaar,Villa,4 BR,3736492,7.2%,7.0%,High,Low
PID-00640,Skyline Place,Business Bay,Sobha Realty,Townhouse,Studio,2526514,8.6%,7.1%,High,Low
PID-00641,Royal Gardens,JVC,Sobha Realty,Villa,2 BR,1644774,9.5%,8.7%,Medium,Medium
PID-00642,Ocean Residence,JVC,Emaar,Villa,2 BR,1289516,8.0%,7.8%,Medium,Medium
PID-00643,Royal Park,Dubai Marina,Binghatti,Townhouse,1 BR,3960292,8.1%,7.8%,High,Low
PID-00644,Ocean Residence,Dubai Marina,DAMAC,Townhouse,3 BR,4194782,8.0%,8.5%,High,Low
PID-00645,Royal Gardens,Business Bay,Emaar,Apartment,3 BR,2582320,8.3%,7.8%,High,Low
PID-00646,Creek Point,JVC,Danube,Villa,3 BR,1038994,9.3%,7.5%,Medium,Medium
PID-00647,Canal View,Dubai Marina,Binghatti,Apartment,4 BR,2170283,8.1%,7.5%,High,Low
PID-00648,Azure Gardens,JVC,Binghatti,Villa,Studio,1235076,8.4%,8.4%,Medium,Medium
PID-00649,Canal Gardens,Business Bay,Emaar,Townhouse,3 BR,4305651,8.3%,6.7%,High,Low
PID-00650,Royal Horizon,Dubai Marina,Danube,Townhouse,3 BR,4760691,8.3%,7.4%,High,Low
PID-00651,Vista Place,JVC,Binghatti,Townhouse,3 BR,915841,8.1%,8.6%,Medium,Medium
PID-00652,Ocean Place,Dubai Marina,Emaar,Townhouse,1 BR,4512792,8.7%,6.8%,High,Low
PID-00653,Vista Square,JVC,Sobha Realty,Apartment,Studio,1009097,9.9%,7.9%,Medium,Medium
PID-00654,Marina Park,Business Bay,DAMAC,Apartment,Studio,4479101,8.5%,6.8%,High,Low
PID-00655,Azure Place,Business Bay,Sobha Realty,Villa,3 BR,2659000,7.2%,7.1%,High,Low
PID-00656,Park Living,Dubai Marina,Emaar,Apartment,1 BR,2537150,8.0%,7.9%,High,Low
PID-00657,Vista Residence,Dubai Marina,Sobha Realty,Villa,1 BR,3994716,8.4%,7.9%,High,Low
PID-00658,Azure Vista,JVC,Danube,Townhouse,3 BR,1450441,10.0%,8.1%,Medium,Medium
PID-00659,Infinity One,Dubai Marina,Danube,Villa,1 BR,4299080,7.9%,7.0%,High,Low
PID-00660,Skyline Living,Business Bay,Binghatti,Townhouse,4 BR,3101369,7.9%,7.5%,High,Low
PID-00661,Ocean Collection,Dubai Marina,Danube,Villa,3 BR,1914921,7.2%,7.5%,High,Low
PID-00662,Ocean Point,Dubai Marina,Binghatti,Apartment,3 BR,2466725,8.0%,7.9%,High,Low
PID-00663,Canal Residences,Business Bay,Binghatti,Apartment,2 BR,2492955,7.4%,7.0%,High,Low
PID-00664,Skyline Residence,JVC,DAMAC,Villa,4 BR,1023004,9.2%,8.1%,Medium,Medium
PID-00665,Palm Tower,Dubai Marina,DAMAC,Apartment,2 BR,4888487,8.9%,7.8%,High,Low
PID-00666,The Place,Dubai Marina,DAMAC,Townhouse,Studio,3337391,7.6%,6.6%,High,Low
PID-00667,Skyline One,Business Bay,Danube,Villa,2 BR,1487720,8.6%,6.9%,High,Low
PID-00668,Azure Residence,JVC,Binghatti,Apartment,4 BR,1125501,9.0%,8.3%,Medium,Medium
PID-00669,Palm Tower,Business Bay,Binghatti,Townhouse,4 BR,2754623,8.4%,6.5%,High,Low
PID-00670,Grand Living,JVC,DAMAC,Apartment,4 BR,1351225,9.1%,7.5%,Medium,Medium
PID-00671,Ocean Residences,Business Bay,Sobha Realty,Villa,2 BR,4431511,8.3%,6.8%,High,Low
PID-00672,The Gardens,Business Bay,Emaar,Villa,4 BR,3025045,8.4%,7.8%,High,Low
PID-00673,Central Point,Business Bay,DAMAC,Townhouse,1 BR,3677287,8.6%,7.9%,High,Low
PID-00674,Royal Central,Dubai Marina,Binghatti,Villa,1 BR,2486787,9.0%,8.3%,High,Low
PID-00675,Central Residences,Dubai Marina,Emaar,Townhouse,2 BR,1743943,7.1%,8.4%,High,Low
PID-00676,Vista Square,Business Bay,DAMAC,Apartment,Studio,1386689,7.8%,8.1%,High,Low
PID-00677,Park Vista,Business Bay,Emaar,Villa,Studio,1681172,7.5%,6.9%,High,Low
PID-00678,Palm View,Business Bay,Sobha Realty,Apartment,2 BR,2345326,7.4%,7.4%,High,Low
PID-00679,Canal Living,Dubai Marina,Sobha Realty,Townhouse,3 BR,4208448,7.6%,6.8%,High,Low
PID-00680,Azure Horizon,Dubai Marina,DAMAC,Villa,4 BR,3265222,8.0%,7.2%,High,Low
PID-00681,Creek Collection,Dubai Marina,Emaar,Villa,1 BR,1552329,7.7%,8.0%,High,Low
PID-00682,Palm One,Business Bay,DAMAC,Townhouse,1 BR,2775665,7.7%,8.0%,High,Low
PID-00683,Canal Square,JVC,Danube,Apartment,4 BR,1726943,8.9%,8.7%,Medium,Medium
PID-00684,Azure Residence,Dubai Marina,Emaar,Townhouse,3 BR,2816520,8.2%,7.6%,High,Low
PID-00685,Ocean One,Business Bay,Danube,Villa,Studio,1916287,7.1%,7.8%,High,Low
PID-00686,Skyline Place,Business Bay,DAMAC,Townhouse,4 BR,4091019,7.8%,6.7%,High,Low
PID-00687,Elite Place,Business Bay,Emaar,Apartment,2 BR,1368572,8.6%,6.9%,High,Low
PID-00688,Skyline One,Dubai Marina,Danube,Apartment,1 BR,2407618,8.4%,6.8%,High,Low
PID-00689,Creek View,Dubai Marina,Binghatti,Townhouse,Studio,3968385,7.8%,8.4%,High,Low
PID-00690,Elite Point,JVC,Emaar,Townhouse,2 BR,1863901,8.2%,8.9%,Medium,Medium
PID-00691,Skyline Living,Dubai Marina,Sobha Realty,Apartment,4 BR,1922909,7.8%,7.2%,High,Low
PID-00692,Central Tower,JVC,Binghatti,Townhouse,2 BR,1063649,9.6%,7.9%,Medium,Medium
PID-00693,The Vista,JVC,DAMAC,Townhouse,1 BR,1608820,8.7%,8.3%,Medium,Medium
PID-00694,Park Square,JVC,Sobha Realty,Townhouse,2 BR,1032651,9.6%,8.3%,Medium,Medium
PID-00695,Central Central,JVC,Emaar,Townhouse,1 BR,921198,9.5%,8.9%,Medium,Medium
PID-00696,Azure Horizon,Business Bay,DAMAC,Townhouse,1 BR,1695171,8.3%,6.8%,High,Low
PID-00697,Park Vista,JVC,Sobha Realty,Townhouse,3 BR,1265537,9.6%,8.0%,Medium,Medium
PID-00698,Park Collection,Dubai Marina,Binghatti,Townhouse,Studio,1993904,8.8%,7.1%,High,Low
PID-00699,Canal Vista,Business Bay,Danube,Townhouse,1 BR,3851159,7.9%,7.6%,High,Low
PID-00700,Skyline Point,JVC,Sobha Realty,Apartment,2 BR,1198439,9.6%,8.2%,Medium,Medium
PID-00701,Park Point,Dubai Marina,Binghatti,Townhouse,Studio,3153394,7.4%,8.2%,High,Low
PID-00702,Creek View,JVC,Danube,Apartment,3 BR,1983653,10.0%,8.3%,Medium,Medium
PID-00703,Infinity Residence,JVC,DAMAC,Apartment,1 BR,1386875,8.5%,8.4%,Medium,Medium
PID-00704,Palm Gardens,Dubai Marina,Danube,Townhouse,1 BR,4242461,8.5%,6.6%,High,Low
PID-00705,Grand View,Dubai Marina,Danube,Townhouse,Studio,4273222,7.4%,7.8%,High,Low
PID-00706,Grand Square,Dubai Marina,Sobha Realty,Villa,4 BR,3858354,7.4%,8.4%,High,Low
PID-00707,Palm Point,Business Bay,DAMAC,Townhouse,3 BR,1545657,8.5%,7.8%,High,Low
PID-00708,Infinity Place,JVC,Binghatti,Apartment,3 BR,1413939,9.0%,7.6%,Medium,Medium
PID-00709,The Gardens,JVC,Emaar,Townhouse,2 BR,1003924,8.4%,9.0%,Medium,Medium
PID-00710,Park Vista,Dubai Marina,DAMAC,Villa,Studio,4404850,8.6%,6.7%,High,Low
PID-00711,Vista Living,JVC,DAMAC,Townhouse,3 BR,1509864,8.3%,8.3%,Medium,Medium
PID-00712,Canal Collection,JVC,Emaar,Townhouse,Studio,680371,9.6%,7.8%,Medium,Medium
PID-00713,Canal Point,JVC,Danube,Townhouse,4 BR,1960974,8.7%,8.8%,Medium,Medium
PID-00714,Infinity Central,Business Bay,Sobha Realty,Townhouse,Studio,2137758,8.2%,7.4%,High,Low
PID-00715,Marina Gardens,JVC,Danube,Apartment,1 BR,1687937,9.7%,8.0%,Medium,Medium
PID-00716,Elite Vista,JVC,DAMAC,Villa,Studio,1117365,9.4%,7.9%,Medium,Medium
PID-00717,Park View,Business Bay,DAMAC,Villa,1 BR,4321010,7.3%,7.6%,High,Low
PID-00718,Park Horizon,JVC,Binghatti,Villa,1 BR,1167538,8.6%,8.6%,Medium,Medium
PID-00719,Canal Square,JVC,Danube,Apartment,4 BR,1689767,9.1%,7.7%,Medium,Medium
PID-00720,Azure Horizon,Dubai Marina,Sobha Realty,Apartment,4 BR,1575954,7.2%,7.9%,High,Low
PID-00721,Central Central,Business Bay,Sobha Realty,Villa,2 BR,4294829,8.3%,6.6%,High,Low
PID-00722,Central Gardens,JVC,Binghatti,Apartment,1 BR,1299213,8.8%,7.9%,Medium,Medium
PID-00723,Park Central,Dubai Marina,Sobha Realty,Villa,4 BR,4205576,8.9%,7.0%,High,Low
PID-00724,Central Park,Dubai Marina,Sobha Realty,Villa,4 BR,3588155,8.8%,7.6%,High,Low
PID-00725,Palm Vista,Dubai Marina,Binghatti,Apartment,2 BR,3526618,8.0%,7.4%,High,Low
PID-00726,Royal Horizon,Dubai Marina,Sobha Realty,Villa,1 BR,4489997,8.2%,8.3%,High,Low
PID-00727,The Gardens,Business Bay,DAMAC,Villa,Studio,1622089,7.2%,7.8%,High,Low
PID-00728,Grand Central,JVC,Sobha Realty,Villa,3 BR,1969307,9.3%,7.9%,Medium,Medium
PID-00729,Ocean Collection,JVC,Binghatti,Apartment,1 BR,1815317,9.0%,7.6%,Medium,Medium
PID-00730,Royal Living,Dubai Marina,Binghatti,Villa,Studio,2361858,7.3%,6.5%,High,Low
PID-00731,Park Central,Dubai Marina,Binghatti,Apartment,1 BR,4430668,8.4%,7.6%,High,Low
PID-00732,Skyline Place,Dubai Marina,DAMAC,Townhouse,2 BR,2935384,8.4%,7.0%,High,Low
PID-00733,Grand Gardens,JVC,Sobha Realty,Townhouse,3 BR,1445412,9.5%,8.0%,Medium,Medium
PID-00734,Grand One,JVC,DAMAC,Apartment,1 BR,997507,8.7%,8.7%,Medium,Medium
PID-00735,Palm Collection,Business Bay,DAMAC,Townhouse,Studio,1502076,8.5%,7.7%,High,Low
PID-00736,Marina Tower,JVC,Sobha Realty,Apartment,2 BR,853876,8.7%,8.6%,Medium,Medium
PID-00737,Palm Square,JVC,Binghatti,Townhouse,1 BR,1468379,9.6%,8.2%,Medium,Medium
PID-00738,Canal Point,Dubai Marina,Sobha Realty,Townhouse,Studio,4890323,7.2%,7.4%,High,Low
PID-00739,Azure Horizon,JVC,DAMAC,Townhouse,3 BR,1095393,9.6%,7.7%,Medium,Medium
PID-00740,Canal Heights,Business Bay,DAMAC,Apartment,Studio,1558039,8.5%,8.2%,High,Low
PID-00741,Park Central,Dubai Marina,Sobha Realty,Apartment,Studio,1784473,9.0%,8.0%,High,Low
PID-00742,Royal Residence,JVC,Sobha Realty,Apartment,4 BR,964689,9.8%,7.8%,Medium,Medium
PID-00743,Vista Residences,Business Bay,Emaar,Townhouse,2 BR,3553824,7.1%,7.6%,High,Low
PID-00744,Skyline Residence,JVC,Emaar,Villa,4 BR,1304312,8.1%,7.7%,Medium,Medium
PID-00745,Vista Horizon,Business Bay,Sobha Realty,Villa,1 BR,2743632,8.3%,7.7%,High,Low
PID-00746,Park Square,Business Bay,DAMAC,Townhouse,Studio,4169173,7.4%,6.9%,High,Low
PID-00747,The One,Dubai Marina,Sobha Realty,Villa,Studio,3308931,7.1%,7.5%,High,Low
PID-00748,Infinity Point,JVC,Binghatti,Townhouse,Studio,1688139,9.4%,8.2%,Medium,Medium
PID-00749,The View,Dubai Marina,Emaar,Villa,3 BR,4306766,7.7%,7.0%,High,Low
PID-00750,Infinity Point,JVC,Sobha Realty,Apartment,Studio,1324122,9.4%,8.2%,Medium,Medium
PID-00751,Central Tower,JVC,Binghatti,Apartment,2 BR,1701901,8.5%,8.2%,Medium,Medium
PID-00752,Marina Residences,Business Bay,Danube,Apartment,2 BR,4347125,8.5%,7.5%,High,Low
PID-00753,Creek Vista,Dubai Marina,Binghatti,Townhouse,Studio,1966403,8.8%,8.3%,High,Low
PID-00754,Grand Horizon,Business Bay,DAMAC,Apartment,2 BR,2482031,8.6%,7.4%,High,Low
PID-00755,Palm Gardens,JVC,Binghatti,Villa,3 BR,1487249,8.8%,8.0%,Medium,Medium
PID-00756,Azure Vista,JVC,Sobha Realty,Townhouse,Studio,1420494,8.9%,7.5%,Medium,Medium
PID-00757,Royal View,JVC,DAMAC,Apartment,Studio,992128,8.8%,8.4%,Medium,Medium
PID-00758,Vista Residence,Dubai Marina,Emaar,Villa,3 BR,3742951,8.0%,7.9%,High,Low
PID-00759,Canal Square,Dubai Marina,Danube,Villa,1 BR,2583185,7.9%,7.8%,High,Low
PID-00760,Elite Residences,Dubai Marina,Binghatti,Townhouse,1 BR,3112862,7.5%,7.6%,High,Low
PID-00761,Creek Central,Dubai Marina,Sobha Realty,Villa,1 BR,2110348,8.7%,6.7%,High,Low
PID-00762,The Tower,Business Bay,Danube,Apartment,4 BR,1686725,7.2%,6.5%,High,Low
PID-00763,Grand Collection,Business Bay,Emaar,Apartment,4 BR,3292669,8.6%,6.7%,High,Low
PID-00764,Azure Residences,Business Bay,Sobha Realty,Apartment,Studio,4172237,8.3%,6.5%,High,Low
PID-00765,The Residence,Business Bay,DAMAC,Apartment,Studio,2833462,7.5%,8.0%,High,Low
PID-00766,Elite Point,Dubai Marina,Emaar,Villa,3 BR,2772237,8.9%,7.8%,High,Low
PID-00767,Skyline Residences,Dubai Marina,Binghatti,Townhouse,4 BR,2116264,7.2%,7.5%,High,Low
PID-00768,The Point,Business Bay,Binghatti,Villa,3 BR,1995527,7.1%,7.5%,High,Low
PID-00769,Azure Collection,Business Bay,Binghatti,Apartment,4 BR,2960844,8.8%,7.4%,High,Low
PID-00770,Marina Horizon,Business Bay,Danube,Townhouse,2 BR,2967928,7.8%,7.2%,High,Low
